Animals: lion, elephant, penguin, dolphin, cobra, tiger, giraffe, kangaroo, shark
Fruits: mango, lychee, papaya, fig, guava, apple, banana, orange, grape
Vegetables: kale, turnip, parsnip, leek, radish, carrot, broccoli, spinach, potato
Furniture: ottoman, armoire, settee, daybed, credenza, chair, table, sofa, bookshelf
Kitchen tools: whisk, colander, ladle, mandoline, spatula, knife, fork, spoon, blender
Musical instruments: sitar, oboe, cello, xylophone, theremin, guitar, piano, violin, drum
Planets: Venus, Neptune, Mercury, Uranus, Saturn, Earth, Mars, Jupiter, Pluto
Sports: cricket, lacrosse, curling, fencing, polo, soccer, basketball, tennis, swimming
Colors: magenta, chartreuse, crimson, ivory, cerulean, red, blue, green, yellow
Clothing: cardigan, beret, kimono, dungarees, blazer, shirt, pants, dress, hat
Jobs: notary, cobbler, actuary, sommelier, archivist, teacher, doctor, engineer, lawyer
Countries: Namibia, Bhutan, Latvia, Ecuador, Oman, France, Japan, Brazil, Canada
Weather: hail, sleet, blizzard, drought, monsoon, rain, snow, wind, sunshine
Desserts: baklava, tiramisu, panna cotta, mochi, churro, cake, pie, ice cream, cookie
Transport: gondola, tram, rickshaw, ferry, cable car, car, bus, train, airplane
Emotions: elated, melancholy, flustered, content, anxious, happy, sad, angry, excited
Superheroes: Wolverine, Thor, Flash, Aquaman, Rogue, Superman, Batman, Wonder Woman, Spider-Man
Ocean creatures: mantis shrimp, cuttlefish, nautilus, hagfish, orca, octopus, jellyfish, lobster, turtle
Flowers: dahlia, peony, amaryllis, wisteria, snapdragon, rose, tulip, lily, daisy
Spices: cardamom, sumac, turmeric, fenugreek, caraway, cinnamon, pepper, ginger, nutmeg
Board games: Catan, Pandemic, Dominion, Terraforming Mars, Azul, Monopoly, Scrabble, Chess, Checkers
Mythical creatures: selkie, kirin, kraken, harpy, basilisk, dragon, unicorn, phoenix, mermaid
Drinks: kombucha, lassi, horchata, kefir, shrub, water, coffee, tea, juice
Languages: Swahili, Farsi, Tamil, Catalan, Yoruba, English, Spanish, French, German
Artworks: fresco, mosaic, etching, lithograph, gouache, painting, sculpture, drawing, photograph
Shapes: rhombus, trapezoid, heptagon, ellipse, crescent, circle, square, triangle, rectangle
Card games: Pinochle, Canasta, Euchre, Spit, Snap, Poker, Blackjack, Solitaire, Bridge
Dances: flamenco, tango, polka, jive, bhangra, waltz, salsa, ballet, hip-hop
Trees: baobab, sequoia, larch, jacaranda, cypress, oak, pine, maple, birch
Cheeses: gruyère, manchego, havarti, brie, gorgonzola, cheddar, mozzarella, parmesan, feta
Reptiles: iguana, gecko, komodo, chameleon, skink, snake, lizard, turtle, crocodile
Gems: alexandrite, tourmaline, carnelian, amethyst, peridot, diamond, ruby, sapphire, emerald
Currencies: rupee, krona, dirham, zloty, baht, dollar, euro, yen, pound
Cooking methods: braise, poach, sauté, parboil, render, bake, fry, grill, boil
Phobias: trypophobia, arachnophobia, claustrophobia, acrophobia, xenophobia, hydrophobia, agoraphobia, nyctophobia, coulrophobia
Fairy tale characters: Rumpelstiltskin, Thumbelina, Pied Piper, Rapunzel, Cinderella, Snow White, Little Red Riding Hood, Aladdin, Peter Pan
Body parts: clavicle, patella, sternum, tibia, mandible, heart, brain, liver, kidney
Mountains: Kilimanjaro, Aconcagua, Denali, Elbrus, K2, Everest, Fuji, Matterhorn, McKinley
Photography terms: aperture, bokeh, shutter, ISO, vignette, lens, focus, zoom, flash
Cocktails: Negroni, Sidecar, Gimlet, Daiquiri, Paloma, Martini, Margarita, Mojito, Cosmopolitan
Pasta types: pappardelle, fusilli, bucatini, orecchiette, farfalle, spaghetti, penne, macaroni, lasagna
Planets' moons: Titan, Io, Europa, Ganymede, Triton, Luna, Phobos, Deimos, Callisto
Fabric types: chiffon, tweed, organza, hessian, velvet, cotton, silk, wool, linen
Philosophers: Aristotle, Nietzsche, Hume, Wittgenstein, Sartre, Plato, Socrates, Kant, Descartes
Hairstyles: mohawk, undercut, pompadour, cornrows, chignon, ponytail, braid, afro, dreadlocks
Cleaning products: descaler, borax, lye, soda crystals, lemon zest, soap, detergent, bleach, vinegar
Punctuation: semicolon, em dash, ellipsis, tilde, pilcrow, period, comma, question mark, exclamation point
Architecture styles: Baroque, Brutalist, Art Deco, Gothic, Bauhaus, Romanesque, Renaissance, Modern, Victorian
Birds: kookaburra, hoopoe, cassowary, ibis, loon, eagle, sparrow, parrot, owl
TV genres: docuseries, telenovela, mockumentary, anthology, procedural, comedy, drama, reality, action
